time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position
1783297506.256899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.257899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.258899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.259899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.260899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.261899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.262899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.263899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.264899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.265899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.266899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.267899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.268899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.269899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.270899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.271899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.272899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.273899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.274899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.275899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.276899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.277899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.278899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.279899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.280899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.281899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.282899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.283899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.284899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.285899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.286899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.287899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.288899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.289899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.290899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.291899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.292899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.293899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.294899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.295899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.296899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.297899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.298899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.299899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.300899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.301899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.302899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.303899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.304899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.305899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.306899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.307899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.308899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.309899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.310899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.311899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.312899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.313899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.314899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.315899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.316899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.317899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.318899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.319899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.320899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.321899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.322899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.323899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.324899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.325899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.326899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.327899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.328899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.329899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.330899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.331899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.332899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.333899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.334899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
