time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783308923.892035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.893035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.894035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.895035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.896035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.897035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.898035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.899035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.900035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.901035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.902035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.903035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.904035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.905035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.906034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.907035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.908035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.909034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.910035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.911035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.912035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.913035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.914035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.915035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.916035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.917035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
